"Code","Year","Period","Date","Captures","ll","Location","Longitude","Latitude"
"S04284",2019,"Morning","2019-07-22",65,-23.5154532522721,"Baldwin",-66.1055,48.562
"S04284",2019,"Night","2019-07-22",4,-23.5154532522721,"Baldwin",-66.1055,48.562
"S04656",2021,"Afternoon","2021-06-24",1,-23.4787415053422,"Stockholm",-68.103,47.067
"S04656",2021,"Evening","2021-06-24",14,-23.4787415053422,"Stockholm",-68.103,47.067
"S04656",2021,"Morning","2021-06-24",1,-23.4787415053422,"Stockholm",-68.103,47.067
"S04656",2021,"Night","2021-06-24",23,-23.4787415053422,"Stockholm",-68.103,47.067
"S04272",2020,"Afternoon","2020-07-01",24,-23.3767864924449,"St Modeste",-69.391333,47.836833
"S04272",2020,"Evening","2020-07-01",13,-23.3767864924449,"St Modeste",-69.391333,47.836833
"S04272",2020,"Morning","2020-07-01",1,-23.3767864924449,"St Modeste",-69.391333,47.836833
"S04272",2020,"Night","2020-07-01",2,-23.3767864924449,"St Modeste",-69.391333,47.836833
"S04256",2020,"Afternoon","2020-07-20",0,-22.810034875482,"Saint Quentin",-67.3305,47.514167
"S04256",2020,"Evening","2020-07-20",50,-22.810034875482,"Saint Quentin",-67.3305,47.514167
"S04256",2020,"Morning","2020-07-20",0,-22.810034875482,"Saint Quentin",-67.3305,47.514167
"S04256",2020,"Night","2020-07-20",8,-22.810034875482,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Afternoon","2018-07-18",4,-22.7209229270423,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Evening","2018-07-18",118,-22.7209229270423,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Morning","2018-07-18",0,-22.7209229270423,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Night","2018-07-18",0,-22.7209229270423,"Saint Quentin",-67.3305,47.514167
"S04540",2022,"Afternoon","2022-07-18",NA,-22.5289706730756,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Evening","2022-07-18",NA,-22.5289706730756,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Morning","2022-07-18",26,-22.5289706730756,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Night","2022-07-18",45,-22.5289706730756,"Cheesemans Park",-59.2835,47.734833
"S06207",2021,"Afternoon","2021-06-28",0,-22.487486913712,"Arisaig",-62.16,45.75
"S06207",2021,"Evening","2021-06-28",6,-22.487486913712,"Arisaig",-62.16,45.75
"S06207",2021,"Morning","2021-06-28",0,-22.487486913712,"Arisaig",-62.16,45.75
"S06207",2021,"Night","2021-06-28",0,-22.487486913712,"Arisaig",-62.16,45.75
"S04284",2019,"Afternoon","2019-07-24",10,-22.2544460294426,"Baldwin",-66.1055,48.562
"S04284",2019,"Evening","2019-07-24",34,-22.2544460294426,"Baldwin",-66.1055,48.562
"S04284",2019,"Morning","2019-07-24",5,-22.2544460294426,"Baldwin",-66.1055,48.562
"S04284",2019,"Night","2019-07-24",0,-22.2544460294426,"Baldwin",-66.1055,48.562
"S04268",2018,"Afternoon","2018-07-09",0,-21.4904869998067,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Evening","2018-07-09",70,-21.4904869998067,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Morning","2018-07-09",0,-21.4904869998067,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Night","2018-07-09",23,-21.4904869998067,"Saint Quentin",-67.3305,47.514167
"S04284",2022,"Afternoon","2022-07-22",1,-21.3693436015404,"Baldwin",-66.1055,48.562
"S04284",2022,"Evening","2022-07-22",1,-21.3693436015404,"Baldwin",-66.1055,48.562
"S04284",2022,"Morning","2022-07-22",6,-21.3693436015404,"Baldwin",-66.1055,48.562
"S04284",2022,"Night","2022-07-22",35,-21.3693436015404,"Baldwin",-66.1055,48.562
"S04608",2020,"Afternoon","2020-07-02",0,-21.1308386756594,"Inverness",-61.294,46.196
"S04608",2020,"Evening","2020-07-02",4,-21.1308386756594,"Inverness",-61.294,46.196
"S04608",2020,"Morning","2020-07-02",0,-21.1308386756594,"Inverness",-61.294,46.196
"S04608",2020,"Night","2020-07-02",8,-21.1308386756594,"Inverness",-61.294,46.196
"S04272",2018,"Afternoon","2018-07-03",0,-21.0304824190338,"St Modeste",-69.391333,47.836833
"S04272",2018,"Evening","2018-07-03",10,-21.0304824190338,"St Modeste",-69.391333,47.836833
"S04272",2018,"Morning","2018-07-03",0,-21.0304824190338,"St Modeste",-69.391333,47.836833
"S04272",2018,"Night","2018-07-03",1,-21.0304824190338,"St Modeste",-69.391333,47.836833
"S04607",2019,"Afternoon","2019-08-03",99,-20.9501181734612,"Zinc Mine Rd",-57.5555,50.273
"S04607",2019,"Evening","2019-08-03",0,-20.9501181734612,"Zinc Mine Rd",-57.5555,50.273
"S04607",2019,"Morning","2019-08-03",9,-20.9501181734612,"Zinc Mine Rd",-57.5555,50.273
"S04607",2019,"Night","2019-08-03",1,-20.9501181734612,"Zinc Mine Rd",-57.5555,50.273
"S04286",2021,"Afternoon","2021-06-24",0,-20.5265951242886,"Saint Leonard",-67.880167,47.1765
"S04286",2021,"Evening","2021-06-24",7,-20.5265951242886,"Saint Leonard",-67.880167,47.1765
"S04286",2021,"Morning","2021-06-24",1,-20.5265951242886,"Saint Leonard",-67.880167,47.1765
"S04286",2021,"Night","2021-06-24",12,-20.5265951242886,"Saint Leonard",-67.880167,47.1765
"S04540",2021,"Afternoon","2021-07-22",19,-20.5162278476405,"Cheesemans Park",-59.2836,47.7346
"S04540",2021,"Evening","2021-07-22",73,-20.5162278476405,"Cheesemans Park",-59.2836,47.7346
"S04540",2021,"Morning","2021-07-22",4,-20.5162278476405,"Cheesemans Park",-59.2836,47.7346
"S04540",2021,"Night","2021-07-22",11,-20.5162278476405,"Cheesemans Park",-59.2836,47.7346
